+44 , Lycanthrope
Steve Miller Band , The Joker
Steve Ouimette , Dueling Banjos
Steve Ouimette , God Save the Queen - GH Version
Steve Ouimette , Hark! The Herald Angels Sing
Steve Ouimette , Il Canto degli Italiani - GH Version
Steve Ouimette , La Marseillaise - GH Version
Steve Ouimette , Lied der Deutschen - GH Version
Steve Ouimette , The Devil Went Down to Georgia
Steve Ouimette , The Devil Went Down to Georgia
Steve Ouimette , The Devil Went Down to Georgia (Co-op)
Steve Ouimette , The Star-Spangled Banner - GH Version
Steve Ouimette , Top Gun Anthem
Steve Ouimette , We Three Kings
Steve Vai , For the Love of God
Steve Vai , Speeding (Vault Version)
Stevie Ray Vaughan (Steve Ouimette) , Pride & Joy
Stevie Wonder , Superstition
Stone Temple Pilots , Between the Lines
Stone Temple Pilots , Interstate Love Song
Stone Temple Pilots , Plush
Stone Temple Pilots , Sex Type Thing
Stone Temple Pilots , Trippin' on a Hole in a Paper Heart
Stone Temple Pilots (WaveGroup) , Trippin' on a Hole in a Paper Heart
Stray Cats (WaveGroup) , Rock This Town
Street Sweeper Social Club , 100 Little Curses
Street Sweeper Social Club , Fight! Smash! Win!
Street Sweeper Social Club , Somewhere in the World It's Midnight
Strong Bad , Trogdor
Strong Bad , Trogdor (Co-op)
Strung Out , Calling
Stuck in the Sound , Toy Boy
Styx , Renegade
Sublime , Santeria
Sublime , What I Got
Suicidal Tendencies , War Inside My Head
Suicidal Tendencies (WaveGroup) , Institutionalized
Suicidal Tendencies (WaveGroup) , Institutionalized (Co-op)
Sum 41 , Fat Lip
Sum 41 , In Too Deep
Sum 41 , Motivation
Sum 41 , Still Waiting
Sunny Day Real Estate , Seven
Superbus , Radio Song
Survivor , Eye of the Tiger
Sworn , Electro Rock
System of a Down , B.Y.O.B.
System Of A Down , Tentative
System of a Down , Toxicity
T.Rex , 20th Century Boy
Taylor Swift , Our Song
Ted Nugent , Stranglehold
Ted Nugent , Ted Nugent Guitar Battle
Ted Nugent , Ted Nugent Guitar Battle (Career)
Tenacious D , The Metal
Tesla , Love Song
Tesla , Modern Day Cowboy
That Handsome Devil , Elephant Bones
The Acro-brats , Laughtrack
The Acro-brats , Laughtrack (Co-op)
The All-American Rejects , Gives You Hell
The Allman Brothers Band , Ramblin' Man
The Allman Brothers Band (WaveGroup) , Jessica
The Allman Brothers Band (WaveGroup) , Jessica (Co-op)
The Amazing Crowns , Mr. Fix It
The Answer , Never Too Late
The Beatles , Abbey Road Medley (Original)
The Bled , You Should Be Ashamed Of Myself
The Bronx , Six Days A Week
The Butthole Surfers (WaveGroup) , Who Was In My Room Last Night?
The Butthole Surfers (WaveGroup) , Who Was In My Room Last Night? (Co-op)
The Cult , Love Removal Machine
The Cure , Fascination Street
The Damned Things , We've Got a Situation Here
The Dead Kennedys (WaveGroup) , Holiday In Cambodia
The Derek Trucks Band , Younk Funk
The Devil Wears Prada , Dez Moines
The Dillinger Escape Plan , Setting Fire to Sleeping Giants
The Donnas , Take it Off
The Donnas (WaveGroup) , Take It Off
The Doors , Love Me Two Times
The Duke Spirit , Send A Little Love Token
The Enemy , Aggro
The Exies , Hey You
The Expendables , Sacrifice
The Faint , The Geeks Were Right
The Fall of Troy , F.C.P.R.E.M.I.X.
The Go-Go's , We Got the Beat
The Guess Who , American Woman
The Hellacopters , I'm In The Band
The Hives , Tick Tick Boom
The J. Geils Band , Freeze Frame
The Jimi Hendrix Experience , Fire (Live at Woodstock)
The Jimi Hendrix Experience , If 6 Was 9
The Jimi Hendrix Experience , Little Wing
The Jimi Hendrix Experience , Purple Haze (Live at San Diego)
The Jimi Hendrix Experience , The Wind Cries Mary
The Killers , All The Pretty Faces
The Killers , Human
The Killers , Losing Touch
The Killers , Mr. Brightside
The Killers , When You Were Young
The Last Vegas , Raw Dog
The Living End , Prisoner of Society
The Living End (WaveGroup) , Carry Me Home
The Mars Volta , L'Via L'Viaquez
The Neighborhoods , Parasite
The Offspring , Self Esteem
The Police , Demolition Man (Live)
The Police , Message in a Bottle
The Police , So Lonely
The Police (WaveGroup) , Message In A Bottle
The Pretenders (WaveGroup) , Tattooed Love Boys
The Raconteurs , Consoler Of The Lonely
The Raconteurs , Hold Up
The Raconteurs , Salute Your Solution
The Raconteurs , Steady As She Goes
The Ramones , Theme from Spiderman
The Ramones (WaveGroup) , I Wanna Be Sedated
The Rasmus , In the Shadows
The Reverend Horton Heat , Psychobilly Freakout
The Rocky Horror Picture Show , Hot Patootie
The Rocky Horror Picture Show , Sweet Transvestite
The Rocky Horror Picture Show , Time Warp
The Rolling Stones , (I Can't Get No) Satisfaction (Live)
The Rolling Stones , Im Free (Live)
The Rolling Stones , Paint It Black
The Rolling Stones , Prodigal Son (Live)
The Rolling Stones , Stray Cat Blues
The Rolling Stones , Sympathy For The Devil
The Rolling Stones , Under My Thumb (Live)
The Rolling Stones , You Gotta Move (Live)
The Rolling Stones (WaveGroup) , Can't You Hear Me Knockin'
The Rolling Stones (WaveGroup) , Can't You Hear Me Knockin' (Co-op)
The Runaways , Cherry Bomb
The Sex Pistols , Anarchy In The UK
The Sex Pistols , Pretty Vacant
The Shins , New Slang
The Sleeping , Bomb the World
The Sleeping , Don't Hold Back
The Smashing Pumpkins , 1979
The Smashing Pumpkins , Bullet With Butterfly Wings
The Smashing Pumpkins , Cherub Rock
The Smashing Pumpkins , G.L.O.W
The Smashing Pumpkins , The Everlasting Gaze
The Smashing Pumpkins , Today
The Stone Roses , Love Spreads
The Stone Roses (WaveGroup) , She Bangs The Drums
The Strokes , Reptilia
The Sword , Freya
The Sword , Maiden, Mother & Crone
The Sword , The Black River
The Sword (WaveGroup) , Freya
The Used , Buried Myself Alive
The Used , Pretty Handsome Awkward
The Used , Pretty Handsome Awkward
The Used , The Bird and the Worm
The Used , The Taste of Ink
The Vines , Get Free
The Vines , Outtathaway!
The White Stripes , Blue Orchid
The White Stripes , Seven Nation Army
The Who (Steve Ouimette) , The Seeker
Them Crooked Vultures , Scumbag Blues
Thin Lizzy , Jailbreak
Thin Lizzy , The Boys Are Back In Town
Thin Lizzy (WaveGroup) , Bad Reputation
Third Eye Blind , Can You Take Me
Third Eye Blind , Graduate
Third Eye Blind , Losing a Whole Year
Third Eye Blind , Never Let You Go
Thrice , All the World Is Mad
Thrice , Deadbolt
Thrice , The Arsonist
Toadies , Possum Kingdom
Tokio Hotel , Monsoon
Tom Morello , Guitar Battle vs. Tom Morello
Tom Morello , Tom Morello Guitar Battle
Tom Morello , Tom Morello Guitar Battle (Co-op)
Tom Petty , Runnin' Down A Dream
Tom Petty & The Heartbreakers , American Girl
Tom Petty & The Heartbreakers , Listen to Her Heart
Tony Solis Ft. Andy Gentile , Guilty Pleasures
Tool , Parabola
Tool , Schism
Tool , Vicarious
Trapt , Headstrong
Triumph , Lay It on the Line
Trivium , Detonation
Trust , Antisocial
Trust , Antisocial
TV On The Radio , Wolf Like Me
Twisted Sister , I Wanna Rock
Twisted Sister , We're Not Gonna Take It
Tyler Bryant , Who I AM
Unearth , Grave of Opportunity
Vagiant , FTK
Valient Thorr , Fall Of Pangea
Vampire Weekend , A-Punk
Vampire Weekend , Cousins
Vampire Weekend , Holiday
Vampire Weekend , The Kids Don't Stand a Chance
Van Halen , Hot for Teacher
Van Halen (WaveGroup) , You Really Got Me
Vanilla Sky , Break It Out
Various , GHWT Medley
Velvet Revolver , Messages
Velvet Revolver , She Builds Quick Machines
Velvet Revolver , Slither
Voivod , X-Stream
Warrant , Cherry Pie
Warrant (WaveGroup) , Cherry Pie
Weezer , Beverly Hills
Weezer , Island in the Sun
Weezer , My Name Is Jonas
Weezer , Pork and Beans
Weezer , Why Bother?
White Zombie , Thunder Kiss '65
White Zombie (WaveGroup) , Black Sunshine
Wild Cherry , Play That Funky Music
Willie Nelson , On the Road Again (Live)
Wings , Hi, Hi, Hi
Wings , Jet
Within Temptation ft Keith Caputo , What Have You Done
Wolfmother , Back Round
Wolfmother , California Queen
Wolfmother , Cosmic Egg
Wolfmother , Dimension
Wolfmother , Pilgrim
Wolfmother , Woman
Wolfmother (WaveGroup) , Woman
Yeah Yeah Yeahs , Dull Life
Zakk Wylde , Zakk Wylde Guitar Battle
Zakk Wylde , Zakk Wylde Guitar Battle (Career)
ZZ Top , Gimme All Your Lovin'
ZZ Top , Sharp Dressed Man (Live)
ZZ Top (Steve Ouimette) , La Grange
